,webtitle,sectionname,publishddate
0,Modi tells Putin that the 'heart bleeds' when innocent children are killed – video,World news,2024-07-09T15:31:40Z
1,Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z
2,Vladimir Putin takes Narendra Modi for a drive and shows him his horses – video,World news,2024-07-09T09:42:05Z
3,Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z
4,Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z
5,Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z
6,Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z
7,Modi claims Indian election victory despite likely loss of majority – video,World news,2024-06-04T18:32:34Z
8,‘Messianic spell’: how Narendra Modi created a cult of personality,World news,2024-04-19T12:08:31Z
9,Narendra Modi inaugurates Hindu temple on site of demolished mosque – video,World news,2024-01-22T18:03:29Z
10,Modi tells Putin that the 'heart bleeds' when innocent children are killed – video,World news,2024-07-09T15:31:40Z
11,Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z
12,Vladimir Putin takes Narendra Modi for a drive and shows him his horses – video,World news,2024-07-09T09:42:05Z
13,Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z
14,Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z
15,Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z
16,Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z
17,Modi claims Indian election victory despite likely loss of majority – video,World news,2024-06-04T18:32:34Z
18,‘Messianic spell’: how Narendra Modi created a cult of personality,World news,2024-04-19T12:08:31Z
19,Narendra Modi inaugurates Hindu temple on site of demolished mosque – video,World news,2024-01-22T18:03:29Z
20,Modi tells Putin that the 'heart bleeds' when innocent children are killed – video,World news,2024-07-09T15:31:40Z
21,Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z
22,Vladimir Putin takes Narendra Modi for a drive and shows him his horses – video,World news,2024-07-09T09:42:05Z
23,Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z
24,Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z
25,Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z
26,Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z
27,Modi claims Indian election victory despite likely loss of majority – video,World news,2024-06-04T18:32:34Z
28,‘Messianic spell’: how Narendra Modi created a cult of personality,World news,2024-04-19T12:08:31Z
29,Narendra Modi inaugurates Hindu temple on site of demolished mosque – video,World news,2024-01-22T18:03:29Z
30,Modi tells Putin that the 'heart bleeds' when innocent children are killed – video,World news,2024-07-09T15:31:40Z
31,Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z
32,Vladimir Putin takes Narendra Modi for a drive and shows him his horses – video,World news,2024-07-09T09:42:05Z
33,Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z
34,Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z
35,Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z
36,Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z
37,Modi claims Indian election victory despite likely loss of majority – video,World news,2024-06-04T18:32:34Z
38,‘Messianic spell’: how Narendra Modi created a cult of personality,World news,2024-04-19T12:08:31Z
39,Narendra Modi inaugurates Hindu temple on site of demolished mosque – video,World news,2024-01-22T18:03:29Z
40,Modi tells Putin that the 'heart bleeds' when innocent children are killed – video,World news,2024-07-09T15:31:40Z
41,Modi and Putin cement ‘bonds of friendship’ despite Ukraine tensions,World news,2024-07-09T14:25:08Z
42,Vladimir Putin takes Narendra Modi for a drive and shows him his horses – video,World news,2024-07-09T09:42:05Z
43,Consensus or division? How Modi will manage Indian coalition government,World news,2024-06-17T07:27:53Z
44,Narendra Modi faces first coalition test as allied parties demand cabinet seats,World news,2024-06-06T17:10:53Z
45,Modi loses parliamentary majority in Indian election,World news,2024-06-05T00:59:10Z
46,Narendra Modi loses aura of invincibility as predicted landslide fails to materialise,World news,2024-06-04T18:52:31Z
